Probability_0,Probability_1,Probability_2
1.261637141228869e-17,0.9999992558123585,7.44187641538384e-07
0.9999083148458878,1.418327429431559e-17,9.168515411223343e-05
2.10685338160277e-27,0.9999999999984872,1.5127540155403465e-12
4.840234380720556e-07,0.07068388201011848,0.9293156339664433
3.8977833406110266e-21,0.9999999867906675,1.320933245549652e-08
6.347492241908484e-05,0.0009143122231410007,0.99902221285444
0.9867049119662437,4.590792211248579e-12,0.013295088029165413
4.607564553413137e-19,0.9999999740168322,2.5983167789599093e-08
0.999985990592858,8.664935162762249e-19,1.4009407142058058e-05
0.00035604846525813034,7.112220099421745e-05,0.9995728293337477
1.0078786138695986e-20,0.9999999769638265,2.303617358545325e-08
1.541788966692906e-13,0.9998348253917391,0.0001651746081068275
0.9975129853801793,1.9762638079702773e-13,0.0024870146196232317
2.649666439382204e-13,0.9999099880066249,9.001199311027509e-05
0.9950157294962625,7.79373333949262e-15,0.004984270503729788
0.998516101922433,4.622035581442649e-15,0.0014838980775622771
0.9962324480010196,1.1094290467218734e-13,0.0037675519988692907
0.9999870044222342,1.0962694317950577e-19,1.299557776572449e-05
6.350465269446213e-15,0.9999768009875508,2.319901244282065e-05
9.340623497583421e-07,0.0010415847335313456,0.9989574812041189
7.603892230687667e-17,0.999998726829326,1.2731706740618788e-06
2.8153012506334626e-10,0.820058367148593,0.17994163256987677
0.0010144128227859409,1.0598019861979334e-05,0.9989749891573521
7.437465337667597e-06,0.01325357554749068,0.9867389869871717
9.680539082051709e-09,0.9400736436548224,0.05992634666463853
1.3678264827268422e-11,0.9981674806762147,0.0018325193101067642
0.9999995739214976,1.2580787029408688e-24,4.2607850245774516e-07
0.9999633237060296,4.396080206907814e-18,3.6676293970372404e-05
0.9138819949368885,2.796363854990135e-11,0.0861180050351479
0.0017514817547209806,1.1619432601773654e-06,0.9982473563020189
0.00010654114141391897,1.022216459355114e-05,0.9998832366939926
0.9810921229953261,4.880512919611676e-12,0.0189078769997935
0.0002685042732195849,0.00010758006222772114,0.9996239156645526
0.9986867686141444,1.681029009303129e-13,0.0013132313856876042
1.0614420739989441e-08,0.6683656549751766,0.33163433441040263
